,Unnamed: 0,address,balance,timestamp,Vote,Round,Project Name,Proposal State,Proposal Standing,Grant Category,Earmarks,OCEAN Granted,datetime
0,0.0,0xebDcbE0f258B7F8Ebb7d3F5E57faE8C2204a5E64,8862.4631086049,1608050320.0,Yes,1,APY.vision,Not Granted,Not Granted,Build & Integrate,General,0.0,2020-12-15 16:38:40
1,1.0,0x5D2B315C465e133a346C960F46f5AA1ED88a3179,13840.708382944082,1608050961.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-15 16:49:21
2,2.0,0xB121b3DdaA9af45Df9878C855079F8A78eea9772,25934.1,1608042248.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-15 14:24:08
3,3.0,0x1911176664F147DCb30DA4a4AA6ef6c6849e613f,4446.742291051118,1608041433.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-15 14:10:33
4,4.0,0x45E48C0a6Fe8b759652624451C83387130C58367,20801.28827419996,1608053655.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-15 17:34:15
5,5.0,0xA41960A39265e936d73F76581475F5517f8F259D,4554.57098909636,1608041137.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-15 14:05:37
6,6.0,0xAFBA2f63810e1Be2F56e95b77fD20f62a3Aef46a,2124.793355535069,1608041027.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-15 14:03:47
7,7.0,0xa60556e3bF6424488072Fb09A20Ecb23dd6D609E,2500.0,1608068621.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-15 21:43:41
8,8.0,0xbbd33AFa85539fa65cc08A2e61a001876D2f13FE,3960.2413043068527,1608038379.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-15 13:19:39
9,9.0,0x67B69C822553FE57d8B7E354af4f540c4e8963c9,41365.77006754,1608107087.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-16 08:24:47
10,10.0,0xEa9235312333aEbFA8C8cA76c77574755b5C00ca,8343.739464227356,1608138040.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-16 17:00:40
11,11.0,0x8dB040D2A95c76805f7F24B146f273ADdbB86ed1,1082.564804613503,1608149581.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-16 20:13:01
12,12.0,0x85799fF1c86f89FE9fB07773d1d240763b6039Ce,201.6120193925808,1608577800.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-21 19:10:00
13,13.0,0x1cA48a32482eF29708e95F248E8a613f05782ED3,16149.298309948495,1608584777.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-21 21:06:17
14,14.0,0xCeaAD86848Dc118337b97eD7a0Fdba36Da6f03D4,2963.563947933436,1608237824.0,Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0,2020-12-17 20:43:44
