,voter,created,ipfs,vp,choice
152,0x7032C3E45d14FbdC93Df98b6e871b3FE4Dae7827,1633990975,QmTGQwxrgE6tv4aMLhbBonmXStKa7ra6PvgYUvRfHFdZvr,100000.0,2.0
153,0x7032C3E45d14FbdC93Df98b6e871b3FE4Dae7827,1633990955,QmPvBccCmokEZqxuMBxt3qvKFx9figVTmwBQ5GCPsUvvCt,100000.0,1.0
154,0x7032C3E45d14FbdC93Df98b6e871b3FE4Dae7827,1633990916,QmUoANdGk9Hv3GocFLJPjXDTpLooCPKj4hLg4UeAVov2Ex,100000.0,2.0
155,0xd36021060157B1Ba387630C91bE45A087CF9AC58,1633990881,QmZSboXZt5WbR3CxxJbrLD3ifqvYxKCgh1yHuyZW36cbsZ,100000.0,2.0
156,0xd36021060157B1Ba387630C91bE45A087CF9AC58,1633990850,QmPHkCjeh8GwcBYKDsBZjMFJvYSao74zveMFh8QGtjgQUr,100000.0,2.0
157,0xd36021060157B1Ba387630C91bE45A087CF9AC58,1633990825,QmSfNRaY1ViRnK8T2AtXCa6zGgksN6QJAJV6xvTuC9hpgo,100000.0,1.0
158,0xd36021060157B1Ba387630C91bE45A087CF9AC58,1633990811,QmYuGXVqPSEgSPHmbdA9crmEh6AkrxVY64dzvt4LZtqHg4,100000.0,2.0
159,0xa377b5AF83fF07387d8f5c9ffAc55C9c2d507755,1633990747,QmWNvwxUTFQgzDYaep3xWSkemmP3EnpeiMdSzBGZMQAsWT,50000.0,1.0
160,0xa377b5AF83fF07387d8f5c9ffAc55C9c2d507755,1633990729,QmTgAgs9wAVmCCV8FaTaGFguPu69GLcBjhDTXjmQX4q8p1,50000.0,2.0
161,0xa377b5AF83fF07387d8f5c9ffAc55C9c2d507755,1633990703,QmaY9JoGqubDUkDJ9o2vtmRB488eLJ9EG5TNPDMSwC26EP,50000.0,2.0
162,0xa377b5AF83fF07387d8f5c9ffAc55C9c2d507755,1633990684,QmW3mv7DL7a6GvVkncHy75jVKxrXEkHfcWKCcfPyucqsp9,50000.0,1.0
163,0xFc2400FBF265f1fFbE319C7949f58a9a3D388B96,1633990653,QmTAoQgUDpXVdqGhVsVMsEXprcN94hCAQutPgAZrP81Zah,50000.0,2.0
164,0xFc2400FBF265f1fFbE319C7949f58a9a3D388B96,1633990629,QmNrry6WkYRC6bdWKUmb7GkEQyL9Kr5gYj5GYY5rkKrAXF,50000.0,1.0
165,0xFc2400FBF265f1fFbE319C7949f58a9a3D388B96,1633990612,QmVQbQcUm2cF33zRskCiY9rnCeXLbaGgvdRuNG6wXGvEs8,50000.0,2.0
