,address,balance,timestamp,dateUtc,Vote,Round,Project Name,Proposal State,Proposal Standing,Grant Category,Earmarks,OCEAN Granted
24,0xebDcbE0f258B7F8Ebb7d3F5E57faE8C2204a5E64,8862.4631086049,1608050320,"Tue, 15 Dec 2020 16:38:40 GMT",Yes,1,APY.vision,Not Granted,,Build & Integrate,General,0.0
26,0x5D2B315C465e133a346C960F46f5AA1ED88a3179,13840.708382944082,1608050961,"Tue, 15 Dec 2020 16:49:21 GMT",Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
13,0xB121b3DdaA9af45Df9878C855079F8A78eea9772,25934.1,1608042248,"Tue, 15 Dec 2020 14:24:08 GMT",Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
12,0x1911176664F147DCb30DA4a4AA6ef6c6849e613f,4446.742291051118,1608041433,"Tue, 15 Dec 2020 14:10:33 GMT",Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
28,0x45E48C0a6Fe8b759652624451C83387130C58367,20801.28827419996,1608053655,"Tue, 15 Dec 2020 17:34:15 GMT",Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
10,0xA41960A39265e936d73F76581475F5517f8F259D,4554.57098909636,1608041137,"Tue, 15 Dec 2020 14:05:37 GMT",Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
9,0xAFBA2f63810e1Be2F56e95b77fD20f62a3Aef46a,2124.793355535069,1608041027,"Tue, 15 Dec 2020 14:03:47 GMT",Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
35,0xa60556e3bF6424488072Fb09A20Ecb23dd6D609E,2500.0,1608068621,"Tue, 15 Dec 2020 21:43:41 GMT",Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
6,0xbbd33AFa85539fa65cc08A2e61a001876D2f13FE,3960.2413043068527,1608038379,"Tue, 15 Dec 2020 13:19:39 GMT",Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
38,0x67B69C822553FE57d8B7E354af4f540c4e8963c9,41365.77006754,1608107087,"Wed, 16 Dec 2020 08:24:47 GMT",Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
41,0xEa9235312333aEbFA8C8cA76c77574755b5C00ca,8343.739464227356,1608138040,"Wed, 16 Dec 2020 17:00:40 GMT",Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
45,0x8dB040D2A95c76805f7F24B146f273ADdbB86ed1,1082.564804613503,1608149581,"Wed, 16 Dec 2020 20:13:01 GMT",Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
71,0x85799fF1c86f89FE9fB07773d1d240763b6039Ce,201.6120193925808,1608577800,"Mon, 21 Dec 2020 19:10:00 GMT",Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
72,0x1cA48a32482eF29708e95F248E8a613f05782ED3,16149.298309948495,1608584777,"Mon, 21 Dec 2020 21:06:17 GMT",Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
52,0xCeaAD86848Dc118337b97eD7a0Fdba36Da6f03D4,2963.563947933436,1608237824,"Thu, 17 Dec 2020 20:43:44 GMT",Yes,1,Data Whale,Funded,Completed,Build & Integrate,General,13000.0
21,0xBEc2E3DcC0F554072474A24376419F5d3454b70F,4724.992161564726,1608049179,"Tue, 15 Dec 2020 16:19:39 GMT",Yes,1,Decentralized File Rating,Funded,Unreported,Build & Integrate,General,13000.0
47,0xB63503dA3bfAB5626e2A91c4cD94fB59679f6876,69297.14125062613,1608159233,"Wed, 16 Dec 2020 22:53:53 GMT",Yes,1,Decentralized File Rating,Funded,Unreported,Build & Integrate,General,13000.0
36,0x6217D92CdbbB56046669cd9F86a916447849fd96,456.402581666758,1608070048,"Tue, 15 Dec 2020 22:07:28 GMT",Yes,1,Decentralized File Rating,Funded,Unreported,Build & Integrate,General,13000.0
37,0x3457124819696E79A3ECa0D08655B287C4F92136,3357.4908726832177,1608081376,"Wed, 16 Dec 2020 01:16:16 GMT",Yes,1,Decentralized File Rating,Funded,Unreported,Build & Integrate,General,13000.0
48,0x64f1fA767dC5f050431Bd1d1d3e72Ea0aD865a06,38408.42637909669,1608164521,"Thu, 17 Dec 2020 00:22:01 GMT",Yes,1,Decentralized File Rating,Funded,Unreported,Build & Integrate,General,13000.0
46,0x33f0E20f104bC092AD43E1fcA864310C4c0189E4,312.5685742710478,1608150337,"Wed, 16 Dec 2020 20:25:37 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
3,0x1Daf0b27e0F54a235abb5D52D276033394Eb8F49,567.6879494588621,1608037321,"Tue, 15 Dec 2020 13:02:01 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
57,0x34335050Aa618DA5F5187E7644f0b86a015E55d3,36965.25773613341,1608313806,"Fri, 18 Dec 2020 17:50:06 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
