address,choice,balance,timestamp,dateUtc,authorIpfsHash
0xF8dac7973f0F444E19bf671915187A0A92f18313,6,8000,1612292772,"Tue, 02 Feb 2021 19:06:12 GMT",QmY5kZwNSRBJKqEBGp7NX4ogKSe52Yq8jpUAahe5rjaRrF
0xf2Bc84dae97DC72000404eeF5cCC04eD236e9a79,14,12602.21191054353,1612295002,"Tue, 02 Feb 2021 19:43:22 GMT",QmekckqAWDhi6zqZh2PSBAU9xFsUA3qRYNVmEQCwb9qooR
0x7186d0ebafB8103F87cC500649389aBdD4E756E7,14,362.97618523310194,1612298034,"Tue, 02 Feb 2021 20:33:54 GMT",QmRio6ts1W66oo7QAvwVyuN69TVDzS2MUcMSau9SsMeLgE
0x37A6156e4a6E8B60b2415AF040546cF5e91699bd,1,2000,1612299551,"Tue, 02 Feb 2021 20:59:11 GMT",QmdxHtRdhcn5vVCzMuViac6cxNt2joiNJLM8YdWtLkV5v9
0x2D3fb3096F020029A49A45c88253A4CD0BC2503F,4,1667.6110115953572,1612301266,"Tue, 02 Feb 2021 21:27:46 GMT",QmZiuPDs66YbqShgdf1pTfNMkuNewVTnmCMydTaXcnuvHr
0x34335050Aa618DA5F5187E7644f0b86a015E55d3,12,36965.257736133404,1612302362,"Tue, 02 Feb 2021 21:46:02 GMT",QmbA944CmmcSwp6zU6pxPyt71JkMHWt6CiboLMQMyCLdYc
0x5De4EA2F4fDe1823ea0432FbeB7E8E7a69f8987C,12,5340.749815216586,1612302451,"Tue, 02 Feb 2021 21:47:31 GMT",QmWK1CYNBfw2jNEb2dowjCiM7Yb1xa7rb7uX3bShnFRac3
0xd647b65fF1e4b25E3d2Dc86553A42c2675072A1a,12,16500,1612302666,"Tue, 02 Feb 2021 21:51:06 GMT",QmYfiuxvRVTp9gJmoxZDWdVcWDSYMhg5iKVx7eKPcwzFKq
0x20718BCD0E16d2cAfF38F87B157Fd1B0d92Cc488,1,5650.004711977122,1612303304,"Tue, 02 Feb 2021 22:01:44 GMT",QmQ2Btw2hPSESsLnWFh9ESuTXSLeidTrT22HMhxKQmzRZ9
0x8dB040D2A95c76805f7F24B146f273ADdbB86ed1,14,2035.927498958015,1612304329,"Tue, 02 Feb 2021 22:18:49 GMT",QmZwpRGnaWnSXeRGbhdREBXRPNL1LsbXokNNULzEPbPJsR
